rep,n_rows,elapsed,max_mem,elapsed_py
7,2,133.15199999999822,1810992,71.05400000000009
7,4,128.0020000000004,3621936,70.28199999999924
7,8,123.7029999999977,7243824,69.54399999999805
7,16,129.12999999999738,14487600,69.43800000000192
7,32,116.36099999999715,28975152,69.43899999999849
7,64,112.85199999999895,57950256,69.62299999999959
7,128,108.9529999999977,115900464,69.91100000000006
7,256,105.9310000000005,231800880,70.16100000000006
7,512,103.04200000000128,463601712,71.48699999999735
7,1024,104.16600000000108,927203376,71.37000000000262
7,2048,93.81400000000212,1854406704,62.65400000000227
7,4096,97.06000000000131,3708813360,62.96900000000096
7,5630,98.59200000000055,5097807408,60.9220000000023
8,1,145.06200000000172,905520,72.38799999999901
8,2,130.96199999999953,1810992,71.11099999999715
8,4,127.97000000000116,3621936,71.55200000000332
8,8,124.84300000000076,7243824,70.08899999999994
8,16,125.16500000000087,14487600,70.15100000000166
8,32,116.50800000000163,28975152,69.32500000000073
8,64,113.40899999999965,57950256,69.67099999999846
8,128,109.72299999999814,115900464,69.92599999999948
8,256,106.01900000000023,231800880,70.07500000000073
8,512,103.08699999999953,463601712,72.03399999999965
8,1024,103.54000000000087,927203376,71.40300000000207
8,2048,93.46100000000297,1854406704,62.77899999999863
8,4096,97.17699999999968,3708813360,62.90699999999924
8,5630,99.04300000000148,5097807408,60.16600000000108
9,1,145.25800000000163,905520,72.35599999999977
9,2,133.2009999999973,1810992,71.07800000000134
9,4,129.8090000000011,3621936,70.20400000000154
9,8,122.97799999999916,7243824,69.75700000000143
9,16,128.95500000000175,14487600,69.4210000000021
9,32,117.72499999999854,28975152,69.45899999999892
9,64,114.62299999999959,57950256,69.80199999999968
9,128,110.12300000000323,115900464,69.89199999999983
9,256,106.22699999999895,231800880,70.16200000000026
9,512,103.59000000000015,463601712,71.58399999999892
9,1024,102.96900000000096,927203376,71.40899999999965
9,2048,93.78999999999724,1854406704,62.67000000000189
9,4096,96.65600000000268,3708813360,63.01599999999962
9,5630,99.8859999999986,5097807408,60.422999999998865
10,1,146.15799999999945,905520,72.2029999999977
10,2,133.75900000000183,1810992,71.02999999999884
10,4,130.87899999999718,3621936,70.18899999999849
10,8,123.02000000000044,7243824,69.6939999999995
10,16,126.59500000000116,14487600,69.3760000000002
10,32,118.4880000000012,28975152,69.68699999999808
10,64,114.14300000000003,57950256,69.68399999999747
10,128,108.44700000000012,115900464,69.84499999999753
10,256,106.43000000000029,231800880,70.32800000000134
10,512,103.00600000000122,463601712,71.45899999999892
10,1024,102.78500000000349,927203376,71.60000000000218
10,2048,93.45300000000134,1854406704,62.585000000002765
10,4096,97.09700000000157,3708813360,63.177999999999884
10,5630,100.72099999999773,5097807408,60.56999999999971
